Title,KM Driven,Fuel,Transmission,Price,Old Price,Savings,Location,Image,Car Link
2015 Maruti Wagon R Stingray VXI,"35,596 kms",Petrol,Manual,₹3 Lakh,₹3.29 Lakh,"(Save ₹28,824)","Thathawade, Pune",https://images10.gaadi.com/usedcar_image/4922827/original/b22312d09b3ee3e647fbbf833a324ad2.jpg?imwidth=640,https://www.cardekho.com/buy-used-car-details/used-Maruti-wagon-r-stingray-vxi-cars-Pune_90820384-8d10-45b6-b536-6ac16c4ff5b8.htm
2020 Kia Seltos HTX Diesel,"38,603 kms",Diesel,Manual,₹14 Lakh,,,"City, Pune",https://images10.gaadi.com/usedcar_image/4782067/original/processed_2e331905-29ea-4e28-b9fa-337b8ed184a6.jpg?imwidth=640,https://www.cardekho.com/used-car-details/used-Kia-seltos-htx-diesel-cars-Pune_c92b1d95-fecc-416c-89c7-5a27a8f3509e.htm
2022 Toyota Urban cruiser High,"35,987 kms",Petrol,Manual,₹8.27 Lakh,,,"Hadapsar, Pune",https://images10.gaadi.com/usedcar_image/4800536/original/7e95ae509863b9c4add17bc68077e8a1.JPG?imwidth=640,https://www.cardekho.com/buy-used-car-details/used-Toyota-urban-cruiser-high-cars-Pune_12c1faca-9c3e-49db-95a7-332517cb26ce.htm
2023 Tata Punch Pure Rhythm,"29,478 kms",Petrol,Manual,₹6.02 Lakh,,,"Pashan, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Tata-punch-pure-rhythm-cars-Pune_b94f24ca-6669-45c3-826e-dfecf115a3ca.htm
2016 Honda Jazz V,"83,323 kms",Petrol,Manual,₹4.17 Lakh,,,"Wakad, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Honda-jazz-v-cars-Pune_df012192-c2c4-4cb1-a8a0-c0e98fa90a2b.htm
2022 Mahindra Thar LX Hard Top Diesel AT,"57,761 kms",Diesel,Automatic,₹13.62 Lakh,,,"Pashan, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Mahindra-thar-lx-hard-top-diesel-at-cars-Pune_bf502b37-52fc-4415-8be1-5f553e05e2aa.htm
2016 Honda City i VTEC V,"60,092 kms",Petrol,Manual,₹4 Lakh,₹4.77 Lakh,"(Save ₹76,895)","Thathawade, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Honda-city-i-vtec-v-cars-Pune_0697fb9d-9931-4266-bcbc-b731749522c3.htm
2016 Hyundai i20 Sportz 1.2,"1,05,342 kms",Petrol,Manual,₹4 Lakh,₹4.71 Lakh,"(Save ₹70,526)","Thathawade, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Hyundai-i20-sportz-12-cars-Pune_4e12d4c2-88cf-4f02-b1bc-36b328d07106.htm
2019 Hyundai Grand i10 1.2 Kappa Sportz BSIV,"59,694 kms",Petrol,Manual,₹4.40 Lakh,₹4.74 Lakh,"(Save ₹34,254)","Thathawade, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Hyundai-grand-i10-12-kappa-sportz-bsiv-cars-Pune_dbe0ebf9-4414-4aaa-866c-f55047e048ed.htm
2016 Mercedes-Benz CLA 200 Sport Edition,"38,256 kms",Petrol,Automatic,₹16.41 Lakh,,,"Wakad, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Mercedes-benz-cla-200-sport-edition-cars-Pune_ac06d80f-92d1-487a-b0b1-80d429a143cf.htm
2018 Tata Tigor XZA,"50,063 kms",Petrol,Automatic,₹4.60 Lakh,,,"Thathawade, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Tata-tigor-xza-cars-Pune_6aaf4aaa-dc88-4b4c-a67d-c70b84fa6543.htm
2016 Maruti Baleno 1.2 Delta,"20,033 kms",Petrol,Manual,₹4.45 Lakh,,,"Thathawade, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Maruti-baleno-12-delta-cars-Pune_cfabfcfb-304f-4f08-b22a-99726b9d298d.htm
2014 Maruti Alto K10 VXI,"47,067 kms",Petrol,Manual,₹2.70 Lakh,,,"Dehu Road Cantt, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Maruti-alto-k10-vxi-cars-Pune_18c273a2-049e-4de3-8795-fb1edde7f905.htm
2012 Volkswagen Vento Diesel Highline,"1,15,000 kms",Diesel,Manual,₹3 Lakh,,,"Khondhwa KH, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Volkswagen-vento-diesel-highline-cars-Pune_d500ad7e-21be-49f7-b2c6-874e41d93689.htm
2019 Hyundai i20 Asta Option CVT BSIV,"53,657 kms",Petrol,Automatic,₹6.35 Lakh,₹6.69 Lakh,"(Save ₹34,010)","Thathawade, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Hyundai-i20-asta-option-cvt-bsiv-cars-Pune_79546bda-1c78-42fc-92a4-48f2f4e9e501.htm
2015 Maruti Celerio VXI AMT,"88,128 kms",Petrol,Automatic,₹2.90 Lakh,₹2.97 Lakh,"(Save ₹7,312)","Thathawade, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Maruti-celerio-vxi-amt-cars-Pune_cf13e7bb-98bc-4256-95f1-73f6f8e54989.htm
2024 Toyota Hyryder V HYBRID,"7,500 kms",Petrol,Automatic,₹21 Lakh,,,"Undri, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Toyota-hyryder-v-hybrid-cars-Pune_ecb34aca-28a7-4674-a7f3-74f78a226310.htm
2023 Skoda Kushaq 1.0 TSI Style,"18,028 kms",Petrol,Manual,₹13.02 Lakh,,,"Wakad, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Skoda-kushaq-10-tsi-style-cars-Pune_af05b7a4-ea3c-48e8-9636-e27651f0107c.htm
2013 Hyundai i20 Sportz Petrol,"96,036 kms",Petrol,Manual,₹2.55 Lakh,,,"Wagholi, Pune",https://images10.gaadi.com/usedcar_image/4885670/original/eba38b2d2a3a5ffbd2a86b08451ae098.JPG?imwidth=640,https://www.cardekho.com/buy-used-car-details/used-Hyundai-i20-sportz-petrol-cars-Pune_d54487c2-cf39-44b3-a142-fe19e0d078a4.htm
2014 Maruti Ritz VXi,"65,014 kms",Petrol,Manual,₹2.20 Lakh,₹2.41 Lakh,"(Save ₹20,530)","Thathawade, Pune",https://images10.gaadi.com/usedcar_image/4923317/original/965472c0aa41907279f75473bd432004.jpg?imwidth=640,https://www.cardekho.com/buy-used-car-details/used-Maruti-ritz-vxi-cars-Pune_9810f918-2db8-47ae-81ee-f73fb2f38cb0.htm
2016 Volkswagen Ameo Cup Edition Comfortline,"1,17,282 kms",Petrol,Manual,₹4.63 Lakh,,,"Hadapsar, Pune",https://images10.gaadi.com/usedcar_image/4919895/original/e5871c179a6ba9e8acb97892570644c6.JPG?imwidth=640,https://www.cardekho.com/buy-used-car-details/used-Volkswagen-ameo-cup-edition-comfortline-cars-Pune_35acdb62-b55f-4a33-b332-baa74d130c11.htm
2020 Kia Seltos HTK Plus D,"35,000 kms",Diesel,Manual,₹12.50 Lakh,,,"Kothrud, Pune",https://images10.gaadi.com/usedcar_image/4866557/original/processed_5d3a19181ce73132fff44b02b2356e00.jpg?imwidth=640,https://www.cardekho.com/used-car-details/used-Kia-seltos-htk-plus-d-cars-Pune_f2d7146e-b77b-4319-9b48-a76caf2ab344.htm
2022 Kia Seltos X-Line DCT,"21,817 kms",Petrol,Automatic,₹11.50 Lakh,,,"Wakad, Pune",https://images10.gaadi.com/usedcar_image/4759313/original/146cfa0b9b437e675606c5084551efd3.JPG?imwidth=640,https://www.cardekho.com/buy-used-car-details/used-Kia-seltos-x-line-dct-cars-Pune_1770ea01-2a2c-46a0-aa29-59402da4190b.htm
2017 Hyundai Grand i10 1.2 Kappa Asta,"40,265 kms",Petrol,Manual,₹4.70 Lakh,,,"Wagholi, Pune",https://images10.gaadi.com/usedcar_image/4926053/original/afcb9eabf7174582b6a34760c0a610dc.JPG?imwidth=640,https://www.cardekho.com/buy-used-car-details/used-Hyundai-grand-i10-12-kappa-asta-cars-Pune_95ce36d4-d1d7-4272-945c-58c7e7c30728.htm
2013 Maruti Alto 800 LXi,"81,013 kms",Petrol,Manual,₹2.06 Lakh,₹2.11 Lakh,"(Save ₹5,000)","Wakad, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Maruti-alto-800-lxi-cars-Pune_3e41a96f-a1a5-40d7-84a4-a1b7295db7b6.htm
2011 Toyota Etios G,"71,430 kms",Petrol,Manual,₹2.20 Lakh,,,"Shivajinagar, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Toyota-etios-g-cars-Pune_513f4337-abe2-45ce-a3ba-ec456d2338a8.htm
2016 Hyundai EON Era,"32,134 kms",Petrol,Manual,₹2.57 Lakh,₹2.64 Lakh,"(Save ₹7,000)","Pashan, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Hyundai-eon-era-cars-Pune_a3708635-3a8d-45fc-a59f-ca7fff016837.htm
2017 Maruti Wagon R CNG LXI,"70,017 kms",CNG,Manual,₹3.91 Lakh,,,"Wakad, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Maruti-wagon-r-cng-lxi-cars-Pune_e1865a32-6de5-492e-8c67-def7d16169cb.htm
2018 Maruti Celerio ZXI AMT Optional,"38,132 kms",Petrol,Automatic,₹4.28 Lakh,₹4.37 Lakh,"(Save ₹9,000)","Wakad, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Maruti-celerio-zxi-amt-optional-cars-Pune_5544f895-d17f-460d-97ad-cd39f7788174.htm
2014 Maruti Celerio VXI,"39,700 kms",Petrol,Manual,₹3.30 Lakh,,,"Wakad, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Maruti-celerio-vxi-cars-Pune_aaaa93f6-c772-4c2f-8a6a-58e8ac557b7f.htm
2013 Maruti Ertiga ZXI,"48,798 kms",Petrol,Manual,₹5.38 Lakh,,,"Hadapsar, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Maruti-ertiga-zxi-cars-Pune_fdf592e2-2cec-49eb-b2c3-675d74399c30.htm
2021 Mahindra Thar LX Hard Top AT,"36,005 kms",Petrol,Automatic,₹12.42 Lakh,,,"Wakad, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Mahindra-thar-lx-hard-top-at-cars-Pune_2cd7b2cc-d4ff-4b6d-856d-a723bc676a51.htm
2023 Tata Tigor XZA Plus,"21,290 kms",Petrol,Automatic,₹7.09 Lakh,,,"Pashan, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Tata-tigor-xza-plus-cars-Pune_f1105b56-2c7f-414a-82be-4385c08255d5.htm
2018 Ford Aspire Titanium Blu Diesel,"48,000 kms",Diesel,Manual,₹4.65 Lakh,,,"Rahatani, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Ford-aspire-titanium-blu-diesel-cars-Pune_9b923a78-aab7-4fc8-9086-566bb24fa05f.htm
2015 Maruti Swift Dzire VXI,"34,840 kms",Petrol,Manual,₹4.29 Lakh,₹4.34 Lakh,"(Save ₹5,000)","Hadapsar, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Maruti-swift-dzire-vxi-cars-Pune_559abc60-95bc-4c0c-84c6-a375f5ea95f5.htm
2013 Hyundai i10 Era 1.1 iTech SE,"34,967 kms",Petrol,Manual,₹2.32 Lakh,₹2.37 Lakh,"(Save ₹5,000)","Pashan, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Hyundai-i10-era-11-itech-se-cars-Pune_4e168bd4-ac9e-4d31-83ce-170a2e006c26.htm
2015 Maruti Wagon R AMT VXI,"74,689 kms",Petrol,Automatic,₹2.79 Lakh,,,"Thathawade, Pune",https://images10.gaadi.com/usedcar_image/4916366/original/0db888b801d79d6e6c45a9f17977aabb.jpg?imwidth=640,https://www.cardekho.com/buy-used-car-details/used-Maruti-wagon-r-amt-vxi-cars-Pune_85055914-4cbe-46a4-b6bf-59a0879f2a6e.htm
2022 Hyundai Grand i10 1.2 Kappa Sportz BSIV,"11,920 kms",Petrol,Manual,₹6.20 Lakh,₹6.30 Lakh,"(Save ₹10,000)","Hadapsar, Pune",https://images10.gaadi.com/usedcar_image/4871853/original/7e7abd8ecb873b3d7a43ee22ca21ab2b.JPG?imwidth=640,https://www.cardekho.com/buy-used-car-details/used-Hyundai-grand-i10-12-kappa-sportz-bsiv-cars-Pune_e3df3221-fb75-4ffe-b4e9-4be01c69ed68.htm
2021 Maruti S Cross Zeta AT,"52,000 kms",Petrol,Automatic,₹7.50 Lakh,₹7.70 Lakh,"(Save ₹20,000)","Yerwada, Pune",https://images10.gaadi.com/usedcar_image/4733358/original/processed_e6539e90edb7074fae2b77e78d29500c.jpg?imwidth=640,https://www.cardekho.com/used-car-details/used-Maruti-s-cross-zeta-at-cars-Pune_dc07524c-a548-4c79-8e4f-5f3abfdc2335.htm
