Title,KM Driven,Fuel,Transmission,Price,Old Price,Savings,Location,Image,Car Link
2022 Maruti Swift Dzire VXI BSVI,"25,955 kms",Petrol,Manual,₹5.68 Lakh,₹6.00 Lakh,"(Save ₹32,282)","Thathawade, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Maruti-swift-dzire-vxi-bsvi-cars-Pune_723a8374-f8f4-4652-9f67-24057047a72a.htm
2015 Maruti Swift VXI,"34,770 kms",Petrol,Manual,₹4.26 Lakh,₹4.35 Lakh,"(Save ₹9,000)","Wakad, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Maruti-swift-vxi-cars-Pune_fc5ce319-c071-428f-9e36-7b0ecc6effd4.htm
2018 Tata Tigor 1.2 Revotron XZA,"52,000 kms",Petrol,Automatic,₹3.55 Lakh,,,"Ravet, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Tata-tigor-12-revotron-xza-cars-Pune_c87c469e-4cac-46eb-bde9-13813201ce0d.htm
2019 Tata Nexon 1.2 Revotron XZA Plus,"77,000 kms",Petrol,Automatic,₹5.50 Lakh,,,"Rajgurunagar, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Tata-nexon-12-revotron-xza-plus-cars-Pune_a1793482-14a2-4071-9062-bb43a481ef7f.htm?adId=15735&adType=41
2021 Hyundai Grand i10 1.2 Kappa Sportz BSIV,"41,986 kms",Petrol,Manual,₹5.90 Lakh,,,"Wakad, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Hyundai-grand-i10-12-kappa-sportz-bsiv-cars-Pune_000ded52-f802-4dda-b70e-70524207e107.htm
2021 Tata Tiago XZ Plus BSVI,"27,862 kms",Petrol,Manual,₹4.40 Lakh,₹5.45 Lakh,"(Save ₹1,05,348)","Thathawade, Pune",https://images10.gaadi.com/usedcar_image/4830347/original/0aaf0b600b438daa0a76c702824fb33f.jpg?imwidth=640,https://www.cardekho.com/buy-used-car-details/used-Tata-tiago-xz-plus-bsvi-cars-Pune_337c6e2e-ef47-4082-9635-58a64ad44b64.htm
2021 Kia Seltos HTX,"58,646 kms",Petrol,Manual,₹8.40 Lakh,,,"Hadapsar, Pune",https://images10.gaadi.com/usedcar_image/4790924/original/d2b6e69aa11623f14041d75781a0be81.JPG?imwidth=640,https://www.cardekho.com/buy-used-car-details/used-Kia-seltos-htx-cars-Pune_3f8ea2f7-3b82-4fdf-bed4-5c9d61c2f36b.htm
2011 Maruti Swift Dzire 1.2 Vxi BSIV,"1,00,000 kms",Petrol,Manual,₹2.55 Lakh,,,"Bavdhan, Pune",https://images10.gaadi.com/usedgaadi-sellcar/UsedCar/k5ee8451a/79d3affd-53ce-4a6f-a3b1-8c85099d835e.jpeg?imwidth=640,https://www.cardekho.com/used-car-details/used-Maruti-swift-dzire-12-vxi-bsiv-cars-Pune_5b5ba4a1-025b-4c24-b242-bfd6e445067c.htm?adId=15111&adType=41
2023 Tata Nexon XZ Plus S,"17,814 kms",Petrol,Manual,₹9.87 Lakh,,,"Hadapsar, Pune",https://images10.gaadi.com/usedcar_image/4838190/original/47bbf15c2e303a9f71b05c3ff1fe200b.JPG?imwidth=640,https://www.cardekho.com/buy-used-car-details/used-Tata-nexon-xz-plus-s-cars-Pune_95756760-820f-47b7-a915-d00c5c4e2469.htm
2016 Hyundai Grand i10 1.2 Kappa Magna BSIV,"59,345 kms",Petrol,Manual,₹3.78 Lakh,₹3.89 Lakh,"(Save ₹11,000)","Pashan, Pune",https://images10.gaadi.com/usedcar_image/4916119/original/d912179308d5745e393920c2e2582b78.JPG?imwidth=640,https://www.cardekho.com/buy-used-car-details/used-Hyundai-grand-i10-12-kappa-magna-bsiv-cars-Pune_fedc2054-38db-48fb-b776-66e0e3565998.htm
2017 Hyundai i20 Asta 1.2,"1,04,578 kms",Petrol,Manual,₹4.65 Lakh,₹4.90 Lakh,"(Save ₹25,087)","Thathawade, Pune",https://images10.gaadi.com/usedcar_image/4930478/original/bb598e798fceeed834ec47693e84b4d9.jpg?imwidth=640,https://www.cardekho.com/buy-used-car-details/used-Hyundai-i20-asta-12-cars-Pune_2cd9f22d-f4da-468f-9748-2585738e3862.htm
2017 Maruti Celerio VXI AT,"50,000 kms",Petrol,Automatic,₹3.10 Lakh,,,"Infotech Park, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Maruti-celerio-vxi-at-cars-Pune_098fdc58-aafb-44e2-9792-5a27f56ec178.htm?adId=14242&adType=41
2022 Skoda Kushaq 1.0 TSI Ambition BSVI,"17,407 kms",Petrol,Manual,₹10.60 Lakh,₹12.85 Lakh,"(Save ₹2,25,089)","Thathawade, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Skoda-kushaq-10-tsi-ambition-bsvi-cars-Pune_f6983276-2d6b-4b75-af08-e7082959e748.htm
2014 Maruti Swift RS VXI,"61,000 kms",Petrol,Manual,₹4.25 Lakh,,,"Kharadi, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Maruti-swift-rs-vxi-cars-Pune_7c7e407c-2d72-45e8-b3db-c6e5baf53742.htm
2024 Tata Punch Accomplished Dazzle,"8,699 kms",Petrol,Manual,₹8.71 Lakh,,,"Hadapsar, Pune",https://images10.gaadi.com/usedcar_image/4641754/original/fd0c1e6fdad95a1df554b18eb54c0114.JPG?imwidth=640,https://www.cardekho.com/buy-used-car-details/used-Tata-punch-accomplished-dazzle-cars-Pune_6cdfff0c-4866-432f-a748-1df64eb515fd.htm
2012 Volkswagen Polo Petrol Highline 1.2L,"52,000 kms",Petrol,Manual,₹2.95 Lakh,,,"Yerwada, Pune",https://images10.gaadi.com/usedcar_image/4864918/original/processed_4d24d7acb651e273770c6bb8c31c6643.jpg?imwidth=640,https://www.cardekho.com/used-car-details/used-Volkswagen-polo-petrol-highline-12l-cars-Pune_e7a59337-5e75-45e0-bd4e-5ec182ed7046.htm?adId=15800&adType=41
2023 Honda Amaze 2nd Gen VX CVT,"34,000 kms",Petrol,Automatic,₹7.75 Lakh,,,"Wanowarie, Pune",https://images10.gaadi.com/usedcar_image/4913713/original/processed_6e1da009-a64c-4c87-8459-b3d74d912df2.jpg?imwidth=640,https://www.cardekho.com/used-car-details/used-Honda-amaze-2nd-gen-vx-cvt-cars-Pune_8e77cea3-c486-425f-ae4a-13976121b102.htm
2023 Kia Sonet HTX Turbo iMT,"63,131 kms",Petrol,Manual,₹9.52 Lakh,,,"Pashan, Pune",https://images10.gaadi.com/usedcar_image/4860936/original/d9162766a577b3fe95f9708024a2bf1a.JPG?imwidth=640,https://www.cardekho.com/buy-used-car-details/used-Kia-sonet-htx-turbo-imt-cars-Pune_d6b452dc-ca33-4509-943d-bab396db20aa.htm
2010 Maruti Wagon R LXI BS IV,"49,000 kms",Petrol,Manual,₹2.25 Lakh,₹2.40 Lakh,"(Save ₹15,000)","Pimpri, Pune",https://images10.gaadi.com/usedcar_image/AP3A.240905.015.A2/original/5aeadff2-861f-49a4-977f-6fc151c37195.jpg?imwidth=640,https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-lxi-bs-iv-cars-Pune_ef70b879-1b1a-477b-b98a-1dbcfed5c767.htm
2013 Mahindra Thar 4X2,"59,000 kms",Diesel,Manual,₹4.25 Lakh,₹4.65 Lakh,"(Save ₹40,000)","Yerwada, Pune",https://images10.gaadi.com/usedcar_image/4664658/original/processed_ccf437544be2335ada326d212ec81a8b.jpg?imwidth=640,https://www.cardekho.com/used-car-details/used-Mahindra-thar-4x2-cars-Pune_93c465f9-be8b-4b8f-a04d-0a8c0b00cacc.htm?adId=10070&adType=41
2015 Maruti Wagon R VXI,"49,302 kms",Petrol,Manual,₹3.36 Lakh,,,"Hadapsar, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Maruti-wagon-r-vxi-cars-Pune_b59a6f53-e71b-416b-a00c-e01afc27fadc.htm
2019 Tata Tiago 1.2 Revotron XZ,"76,218 kms",Petrol,Manual,₹3.75 Lakh,₹3.87 Lakh,"(Save ₹11,932)","Thathawade, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Tata-tiago-12-revotron-xz-cars-Pune_77c8035f-0704-4488-abe6-bd2acfa8c1e9.htm
2013 Honda Brio VX AT,"55,000 kms",Petrol,Automatic,₹3.25 Lakh,,,"Yerwada, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Honda-brio-vx-at-cars-Pune_b6f44725-2f6f-469c-9dc5-3b6badad9af6.htm
2016 Hyundai Verna 1.6 VTVT SX,"30,000 kms",Petrol,Manual,₹4.25 Lakh,,,"Hadapsar, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Hyundai-verna-16-vtvt-sx-cars-Pune_c8447c89-587a-4563-a47f-8ff289506cf2.htm?adId=15515&adType=41
2021 Hyundai Creta EX BSVI,"29,363 kms",Petrol,Manual,₹9 Lakh,₹9.82 Lakh,"(Save ₹82,329)","Thathawade, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Hyundai-creta-ex-bsvi-cars-Pune_af6fa214-8d2c-4b0f-a22b-d9e251a88cf4.htm
2021 Hyundai Venue SX Opt Turbo DCT Special Edition,"46,327 kms",Petrol,Automatic,₹9.28 Lakh,,,"Wakad, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Hyundai-venue-sx-opt-turbo-dct-special-edition-cars-Pune_854084cc-4af3-47e2-a6f9-a87dba5b2048.htm
2013 Honda Brio S MT,"61,376 kms",Petrol,Manual,₹2.54 Lakh,,,"Wakad, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Honda-brio-s-mt-cars-Pune_61c7dbcc-943a-43da-91f5-a0f81a311b5c.htm
2014 Maruti Swift Dzire VXI,"1,00,000 kms",Petrol,Manual,₹2.75 Lakh,,,"Mohamad Wadi, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Maruti-swift-dzire-vxi-cars-Pune_a88aea29-c887-4bdb-a7ac-067af86ff591.htm?adId=15376&adType=41
2021 Kia Seltos HTK Plus AT D,"51,400 kms",Diesel,Automatic,₹14 Lakh,,,"R.s., Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Kia-seltos-htk-plus-at-d-cars-Pune_6869c4bb-6dfb-4242-a801-5da6d6952f23.htm
2014 Hyundai Xcent Petrol,"90,786 kms",Petrol,Manual,₹3.92 Lakh,,,"Wakad, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Hyundai-xcent-petrol-cars-Pune_0544300e-8ea2-47d5-9151-0268aabadd92.htm
2017 Maruti Celerio ZXI,"47,432 kms",Petrol,Manual,₹4.09 Lakh,,,"Hadapsar, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Maruti-celerio-zxi-cars-Pune_43c00f96-d8b4-447f-b4a2-e348c51736fc.htm
2025 Citroen C3 Turbo Shine AT,"4,800 kms",Petrol,Automatic,₹9 Lakh,,,"Wanowarie, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Citroen-c3-turbo-shine-at-cars-Pune_3703334b-8f97-497c-b2df-ba23c4bb02ac.htm?adId=15961&adType=41
2022 Volkswagen Taigun 1.0 Highline,"25,270 kms",Petrol,Manual,₹9.53 Lakh,,,"Wakad, Pune",https://images10.gaadi.com/usedcar_image/4863522/original/1cb97b21f0efa7131a656be442dc627c.JPG?imwidth=640,https://www.cardekho.com/buy-used-car-details/used-Volkswagen-taigun-10-highline-cars-Pune_eb0ce819-877a-4465-9dd2-a91883c9b2b7.htm
2016 Hyundai Grand i10 Magna,"72,599 kms",Petrol,Manual,₹3.10 Lakh,₹3.60 Lakh,"(Save ₹50,063)","Thathawade, Pune",https://images10.gaadi.com/usedcar_image/4925069/original/df87339a22f9836b4364f9e1ce89dd3b.jpg?imwidth=640,https://www.cardekho.com/buy-used-car-details/used-Hyundai-grand-i10-magna-cars-Pune_0db2a96c-0e94-48dd-81ee-9f96d777a7cb.htm
2022 Tata Nexon XZA Plus (O) AMT,"27,776 kms",Petrol,Automatic,₹9.23 Lakh,,,"Wakad, Pune",https://images10.gaadi.com/usedcar_image/4686209/original/2caea1a59f201b4c20ed30496a071880.JPG?imwidth=640,https://www.cardekho.com/buy-used-car-details/used-Tata-nexon-xza-plus-o-amt-cars-Pune_467b9c00-aa3f-4c10-baea-087e5cf7a6f0.htm
2014 Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,"99,000 kms",Diesel,Manual,₹9.55 Lakh,,,Pune,https://images10.gaadi.com/usedcar_image/4895325/original/processed_950e75ad-3a47-4c0a-9ee1-1198285aab00.jpeg?imwidth=640,https://www.cardekho.com/used-car-details/used-Toyota-innova-25-vx-diesel-7-seater-bs-iv-cars-Pune_7d78464c-3597-4524-93ff-6a32f2c0dc91.htm?adId=14771&adType=41
2015 Hyundai i20 Sportz 1.2,"37,782 kms",Petrol,Manual,₹4.96 Lakh,,,"Hadapsar, Pune",https://images10.gaadi.com/usedcar_image/4900584/original/3e24e4429df91e9ce70dea4ccd98ccbe.JPG?imwidth=640,https://www.cardekho.com/buy-used-car-details/used-Hyundai-i20-sportz-12-cars-Pune_710a8555-60df-4699-aebe-214717248db5.htm
2022 Renault Triber RXT,"39,545 kms",Petrol,Manual,₹5.26 Lakh,,,"Hadapsar, Pune",https://images10.gaadi.com/usedcar_image/4794316/original/edc7c651095cef668962c12c846c2150.JPG?imwidth=640,https://www.cardekho.com/buy-used-car-details/used-Renault-triber-rxt-cars-Pune_0929fdaf-5881-48bf-8bae-89989f2d27c7.htm
